# Rime user dictionary
#@/db_name	dicts
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	127284
#@/user_id	sync
a 	啊	c=227 d=2.80092 t=127284
qing jiang 	請將	c=1 d=0.13332 t=127284
qing jiao 	請教	c=5 d=0.552081 t=127284
qing jing 	情景	c=3 d=2.7427e-08 t=127284
qing kong 	清空	c=34 d=0.0119742 t=127284
qing kuang 	情況	c=63 d=3.1074 t=127284
qing kuang xia 	情況下	c=8 d=0.0513033 t=127284
qing li 	清理	c=40 d=1.57075 t=127284
qing li zhong 	清理中	c=1 d=0.0145524 t=127284
qing liang 	輕量	c=9 d=0.000115643 t=127284
qing liang ji 	輕量級	c=1 d=0.00167826 t=127284
qing ling 	清零	c=1 d=0.00806679 t=127284
qing liu kong 	請留空	c=1 d=2.07113e-07 t=127284
qing ni 	請你	c=56 d=3.86563 t=127284
qing qing chu chu 	清清楚楚	c=1 d=6.81494e-19 t=127284
qing qiu 	請求	c=165 d=4.54711 t=127284
qing qiu shu 	請求數	c=1 d=0.0596059 t=127284
qing ren 	請人	c=1 d=5.33681e-25 t=127284
qing shan 	青山	c=1 d=6.37954e-07 t=127284
qing shu ru 	請輸入	c=3 d=4.55436e-05 t=127284
qing wen 	請問	c=6 d=0.5355 t=127284
qing wu 	請勿	c=2 d=3.67865e-22 t=127284
qing xi 	清晰	c=15 d=0.213312 t=127284
qing xi 	清洗	c=2 d=0.634448 t=127284
qing xian 	請先	c=10 d=0.00685804 t=127284
qing xiang 	傾向	c=1 d=2.35866e-07 t=127284
qing xiang yu 	傾向於	c=1 d=0.000120966 t=127284
qing xin 	清新	c=1 d=0.748264 t=127284
qing xing 	情形	c=0 d=3.07802e-22 t=127284
qing xing zhong 	情形中	c=1 d=3.09345e-21 t=127284
qing xu 	情緒	c=2 d=3.13048e-06 t=127284
qing yi 	請以	c=1 d=2.42422e-06 t=127284
qing yong 	請用	c=2 d=1.05453e-07 t=127284
qing zhu 	慶祝	c=1 d=0.0761538 t=127284
qing zhu nan shu 	罄竹難書	c=2 d=0.406712 t=127284
qiong 	窮	c=1 d=0.687289 t=127284
qiu 	求	c=10 d=0.382173 t=127284
qiu 	球	c=3 d=0.084644 t=127284
qiu he 	求和	c=1 d=0.208045 t=127284
qiu jiao 	求教	c=1 d=1.33479e-15 t=127284
qiu jie 	求解	c=2 d=0.228779 t=127284
qiu mo 	求模	c=1 d=0.000166586 t=127284
qiu suo 	求索	c=1 d=3.15165e-05 t=127284
qiu tian 	秋天	c=7 d=0.914534 t=127284
qiu zhi 	求值	c=11 d=0.375311 t=127284
qiu zhi 	求職	c=1 d=3.02179e-10 t=127284
qiu zhu 	求助	c=3 d=0.00201295 t=127284
qu 	區	c=17 d=0.484325 t=127284
qu 	去	c=32 d=1.16708 t=127284
qu 	取	c=17 d=0.343015 t=127284
qu 	曲	c=1 d=9.59288e-12 t=127284
qu bei 	曲背	c=1 d=1.55403e-10 t=127284
qu bei jing 	去北京	c=1 d=0.909373 t=127284
qu bie 	區別	c=73 d=0.960304 t=127284
qu bie jiu 	區別就	c=1 d=0.161218 t=127284
qu bu qu 	去不去	c=1 d=2.97418e-29 t=127284
qu chang bu duan 	取長補短	c=2 d=0.665751 t=127284
qu chu 	去除	c=13 d=0.431308 t=127284
qu chu 	取出	c=5 d=0.263991 t=127284
qu ci ao 	區此奧	c=1 d=0.690734 t=127284
qu dai 	取代	c=3 d=2.51664e-05 t=127284
qu dao 	渠道	c=48 d=1.46058 t=127284
qu de 	取得	c=6 d=0.208045 t=127284
qu diao 	去掉	c=27 d=1.36106 t=127284
qu diao ba 	去掉吧	c=1 d=0.00690852 t=127284
qu diao le 	去掉了	c=4 d=0.0211736 t=127284
qu ding 	驅丁	c=1 d=1.11974e-07 t=127284
qu dong 	驅動	c=31 d=6.22759 t=127284
qu ei de na ge 	去誒的哪個	c=1 d=2.12942e-10 t=127284
qu fan 	取反	c=1 d=0.467666 t=127284
qu fen 	區分	c=18 d=0.030629 t=127284
qu jue 	取決	c=1 d=0.0466538 t=127284
qu jue yu 	取決於	c=4 d=0.205975 t=127284
qu le 	去了	c=12 d=0.359493 t=127284
qu ming 	取名	c=1 d=2.2909e-17 t=127284
qu na 	去哪	c=1 d=3.88812e-05 t=127284
qu nian 	去年	c=5 d=0.302704 t=127284
qu shi 	去世	c=2 d=2.65944e-16 t=127284
qu shi 	趨勢	c=3 d=0.390628 t=127284
qu shi 	驅使	c=0 d=2.28025e-22 t=127284
qu shi wo 	驅使我	c=1 d=2.29168e-21 t=127284
qu xian 	曲線	c=1 d=2.80345e-10 t=127284
qu xiao 	取消	c=44 d=0.96135 t=127284
qu xiao 	取笑	c=1 d=1.54171e-34 t=127284
qu xiao you 	取消有	c=1 d=2.35378e-12 t=127284
qu yu 	區域	c=4 d=0.432638 t=127284
qu zheng 	取整	c=3 d=0.063609 t=127284
qu zhi 	取址	c=4 d=0.00368519 t=127284
quan 	全	c=36 d=0.880423 t=127284
quan 	勸	c=3 d=0.869358 t=127284
quan 	圈	c=1 d=4.48703e-14 t=127284
quan 	犬	c=4 d=1.17682e-25 t=127284
quan bei 	圈杯	c=1 d=6.47553e-65 t=127284
quan bu 	全部	c=22 d=0.0204458 t=127284
quan diu 	全丟	c=1 d=0.97531 t=127284
quan dou shi 	全都是	c=2 d=0.12938 t=127284
quan fa 	拳法	c=1 d=2.17281e-12 t=127284
quan fang wei 	全方位	c=1 d=0.168638 t=127284
quan heng 	權衡	c=2 d=0.978434 t=127284
quan jiao 	全角	c=4 d=1.84569e-40 t=127284
quan ju 	全局	c=31 d=1.6886 t=127284
quan kai 	全開	c=0 d=1.23217e-16 t=127284
quan kao 	全靠	c=1 d=0.543351 t=127284
quan li 	全力	c=1 d=0.025223 t=127284
quan li 	權力	c=4 d=0.0250972 t=127284
quan lian jie 	全連接	c=2 d=7.02015e-08 t=127284
quan lian jie 	全鏈接	c=1 d=1.1396e-08 t=127284
quan liang 	全量	c=3 d=0.0389939 t=127284
quan mian 	全面	c=3 d=0.109154 t=127284
quan ping 	全屏	c=5 d=0.00134615 t=127284
quan qin 	全勤	c=1 d=0.15259 t=127284
quan qiu 	全球	c=4 d=1.77345e-05 t=127284
quan quan 	圈圈	c=1 d=0.079659 t=127284
quan shen 	全身	c=10 d=0.000119261 t=127284
quan shen tu 	全身圖	c=1 d=2.17806e-11 t=127284
quan shi 	全市	c=1 d=0.128093 t=127284
quan shi 	全是	c=33 d=1.10203 t=127284
quan tao 	全套	c=2 d=2.05018e-05 t=127284
quan ti 	全體	c=1 d=0.369723 t=127284
quan tui 	勸退	c=0 d=1.06054e-16 t=127284
quan tui wo 	勸退我	c=1 d=1.06585e-15 t=127284
quan wang 	全網	c=1 d=0.628135 t=127284
quan wei 	權威	c=1 d=0.0880368 t=127284
quan wen 	全文	c=1 d=1.70478e-11 t=127284
quan xian 	權限	c=70 d=2.05215 t=127284
quan xiang 	全鄉	c=1 d=6.99959e-10 t=127284
quan xin 	全新	c=1 d=5.12057e-09 t=127284
quan zhan 	全站	c=1 d=1.20987e-06 t=127284
quan zhong 	權重	c=3 d=1.83219e-06 t=127284
quan zi 	圈子	c=1 d=0.021068 t=127284
que 	卻	c=19 d=0.509156 t=127284
que 	缺	c=1 d=9.67086e-19 t=127284
que bao 	確保	c=14 d=0.00244862 t=127284
que dian 	缺點	c=3 d=0.410656 t=127284
que ding 	確定	c=52 d=0.539808 t=127284
que le 	缺了	c=1 d=0.0547488 t=127284
que neng 	卻能	c=2 d=0.0122773 t=127284
que ren 	確認	c=7 d=0.0434998 t=127284
que shao 	缺少	c=8 d=0.77227 t=127284
que sheng 	缺省	c=1 d=3.84865e-32 t=127284
que shi 	確實	c=78 d=1.79536 t=127284
que shi 	缺失	c=4 d=0.965605 t=127284
que shi shao 	確實少	c=1 d=0.559898 t=127284
que wu fa 	卻無法	c=1 d=0.0002139 t=127284
que ye 	缺頁	c=2 d=2.43091e-09 t=127284
qun 	羣	c=7 d=0.0124668 t=127284
qun li 	羣裏	c=6 d=0.847894 t=127284
qun liao 	羣聊	c=2 d=3.38892e-06 t=127284
qun you 	羣友	c=2 d=0.442639 t=127284
qun zhi 	麇至	c=1 d=6.72284e-06 t=127284
qun zhong 	羣衆	c=2 d=0.71177 t=127284
qun zhu 	羣主	c=17 d=0.140858 t=127284
qun zhu de 	羣主的	c=1 d=0.0244775 t=127284
qun zu 	羣組	c=1 d=6.57606e-11 t=127284
ran er 	然而	c=2 d=1.03098e-06 t=127284
ran gong 	染工	c=0 d=4.88095e-05 t=127284
ran gong wo 	染工我	c=1 d=0.000490542 t=127284
ran hou 	然後	c=159 d=3.38716 t=127284
ran o hu 	然喔胡	c=1 d=4.26674e-10 t=127284
ran wo 	然我	c=1 d=7.18045e-16 t=127284
ran zhuang 	然裝	c=1 d=0.66365 t=127284
rang 	讓	c=162 d=1.30631 t=127284
rang na ge 	讓哪個	c=1 d=3.90682e-32 t=127284
rang ni 	讓你	c=9 d=0.575051 t=127284
rang qi 	讓其	c=10 d=0.323033 t=127284
rang ren 	讓人	c=5 d=0.484325 t=127284
rang ta 	讓他	c=14 d=0.249616 t=127284
rang ta 	讓它	c=7 d=1.34112 t=127284
rang ta men 	讓它們	c=1 d=4.98888e-26 t=127284
rang wo 	讓我	c=18 d=1.6059 t=127284
rang wo lai 	讓我來	c=1 d=0.000169103 t=127284
rang wo men 	讓我們	c=1 d=8.85987e-18 t=127284
rang yi ge 	讓一個	c=1 d=1.42706e-66 t=127284
rang yong hu 	讓用戶	c=1 d=5.95229e-15 t=127284
re 	熱	c=1 d=6.86566e-18 t=127284
re ai 	熱愛	c=0 d=0.0177284 t=127284
re ai hou 	熱愛後	c=1 d=0.178173 t=127284
re dian 	熱點	c=4 d=4.91812e-05 t=127284
re du 	熱度	c=1 d=1.88889e-41 t=127284
re men 	熱門	c=2 d=1.27827e-06 t=127284
re qing 	熱情	c=1 d=2.67499e-17 t=127284
re shui 	熱水	c=1 d=1.83119e-29 t=127284
ren 	人	c=74 d=1.43243 t=127284
ren 	壬	c=3 d=0.748264 t=127284
ren 	忍	c=8 d=1.25641 t=127284
ren cheng 	人稱	c=1 d=8.17451e-12 t=127284
ren ding 	認定	c=1 d=0.425283 t=127284
ren ge 	人格	c=1 d=3.94755e-07 t=127284
ren gong 	人工	c=4 d=0.000357992 t=127284
ren he 	任何	c=46 d=0.64741 t=127284
ren ji 	人機	c=1 d=1.02689e-18 t=127284
ren jia 	人家	c=20 d=0.517123 t=127284
ren ke 	認可	c=2 d=0.119433 t=127284
ren kou 	人口	c=1 d=0.0139818 t=127284
ren le 	認了	c=1 d=2.92442e-07 t=127284
ren lei 	人類	c=7 d=0.0159229 t=127284
ren li 	人力	c=1 d=0.162838 t=127284
ren lian 	人臉	c=1 d=0.0014018 t=127284
ren me 	恁麼	c=1 d=2.93908e-07 t=127284
ren men 	人們	c=1 d=0.155673 t=127284
ren ren 	人人	c=3 d=1.40653e-05 t=127284
ren shi 	認識	c=8 d=0.927739 t=127284
ren shi dao 	認識到	c=1 d=0.918512 t=127284
ren shi shi xi 	認識實習	c=1 d=6.84211e-07 t=127284
ren shu 	人數	c=1 d=3.57128e-05 t=127284
ren shui 	人水	c=1 d=1.82206e-29 t=127284
ren ti 	人體	c=3 d=0.000145352 t=127284
ren tong 	認同	c=1 d=0.00240549 t=127284
ren tou 	人頭	c=1 d=0.000483239 t=127284
ren wei 	認爲	c=11 d=0.165996 t=127284
ren wu 	人物	c=3 d=0.336219 t=127284
ren wu 	任務	c=88 d=1.48664 t=127284
ren xing 	人性	c=1 d=0.0578443 t=127284
ren yi 	任一	c=9 d=0.0141931 t=127284
ren yi 	任意	c=13 d=0.186374 t=127284
ren yi yi zhong 	任意一種	c=1 d=0.0437178 t=127284
ren you 	人郵	c=1 d=0.694197 t=127284
ren zai 	人在	c=2 d=0.00212878 t=127284
ren zhen 	認真	c=5 d=5.5596e-05 t=127284
ren zheng 	認證	c=9 d=0.0656095 t=127284
reng 	仍	c=1 d=1.24455e-16 t=127284
reng ran 	仍然	c=7 d=2.01512e-08 t=127284
reng ren wei 	仍認爲	c=1 d=1.25079e-15 t=127284
ri 	日	c=5 d=0.000274654 t=127284
ri ben 	日本	c=1 d=2.63293e-07 t=127284
ri chang 	日常	c=6 d=1.66184e-05 t=127284
ri cheng 	日程	c=1 d=5.95128e-13 t=127284
ri li 	日曆	c=2 d=1.1151e-17 t=127284
ri qi 	日期	c=46 d=1.0345 t=127284
ri yi 	日益	c=1 d=0.396531 t=127284
ri zhi 	日誌	c=18 d=1.03975 t=127284
ri zhi ku 	日誌庫	c=1 d=0.000305061 t=127284
rong 	榮	c=0 d=1.50395e-08 t=127284
rong chang 	冗長	c=2 d=0.00790705 t=127284
rong cuo 	容錯	c=1 d=0.931998 t=127284
rong cuo lv 	容錯率	c=1 d=0.802519 t=127284
rong he 	融合	c=2 d=1.97656e-07 t=127284
rong he 	融和	c=-3 d=2.90199e-07 t=127284
rong lai gai nian 	榮來概念	c=1 d=1.51149e-07 t=127284
rong liang 	容量	c=13 d=0.471194 t=127284
rong na 	容納	c=2 d=1.46682e-07 t=127284
rong qi 	容器	c=93 d=5.12986 t=127284
rong qi ku 	容器庫	c=1 d=3.61651e-06 t=127284
rong yi 	容易	c=4 d=0.146759 t=127284
rong yi huai 	容易壞	c=1 d=0.843665 t=127284
rong yi sheng bing 	容易生病	c=1 d=0.937067 t=127284
rong yu 	冗餘	c=4 d=0.881627 t=127284
rong yu 	榮譽	c=1 d=0.293758 t=127284
rou 	肉	c=5 d=0.0139592 t=127284
rou nie 	揉捻	c=3 d=0.0175658 t=127284
rou xing 	柔性	c=2 d=0.74378 t=127284
rou yan 	肉眼	c=1 d=7.30162e-07 t=127284
ru 	入	c=3 d=0.000131669 t=127284
ru 	如	c=61 d=2.61373 t=127284
ru bu 	如不	c=2 d=4.19166e-07 t=127284
ru bu qing chu 	如不清楚	c=2 d=0.00010622 t=127284
ru ci 	如此	c=2 d=0.000144556 t=127284
ru dang 	入黨	c=1 d=0.015259 t=127284
ru dang qi meng 	入黨啓蒙	c=1 d=0.153355 t=127284
ru e 	如額	c=1 d=0.0328764 t=127284
ru eh 	如誒	c=2 d=0.00530026 t=127284
ru fang 	乳房	c=2 d=1.5544 t=127284
ru gu 	入股	c=1 d=0.0776922 t=127284
ru guan 	入關	c=3 d=2.4867 t=127284
ru guo 	如果	c=611 d=4.13135 t=127284
ru guo shuo 	如果說	c=1 d=0.0480747 t=127284
ru he 	如何	c=1103 d=4.57253 t=127284
ru he chuang jian 	如何創建	c=1 d=3.2825e-13 t=127284
ru he rang 	如何讓	c=1 d=1.15443e-13 t=127284
ru he xie 	如何寫	c=1 d=1.72279e-17 t=127284
ru huo 	如火	c=2 d=1.56506e-05 t=127284
ru kou 	入口	c=3 d=0.437331 t=127284
ru men 	入門	c=13 d=1.42425 t=127284
ru mian 	入眠	c=1 d=0.778801 t=127284
ru ni 	如你	c=1 d=1 t=125658
ru qin 	入侵	c=3 d=1.1802e-08 t=127284
ru shang 	如上	c=2 d=0.0246439 t=127284
ru shang mian 	如上面	c=1 d=1.6169e-06 t=127284
ru she 	入射	c=1 d=1.72103e-05 t=127284
ru shui 	入睡	c=1 d=0.759572 t=127284
ru si 	如斯	c=1 d=1.02424e-17 t=127284
ru ti 	如題	c=5 d=0.574072 t=127284
ru tong 	如同	c=1 d=2.8272e-21 t=127284
ru tou 	乳頭	c=2 d=0.00878245 t=127284
ru tu 	如圖	c=1 d=8.19288e-09 t=127284
ru xia 	如下	c=33 d=2.27363 t=127284
ru xu 	如需	c=2 d=5.99618e-05 t=127284
ru xue 	入學	c=9 d=0.0258783 t=127284
ru zhi 	入職	c=2 d=0.00204983 t=127284
ru zhu 	入駐	c=1 d=0.26054 t=127284
ruan 	軟	c=5 d=1.82149 t=127284
ruan cheng 	軟成	c=1 d=2.90173e-33 t=127284
ruan gong 	軟工	c=3 d=1.34305 t=127284
ruan jian 	軟件	c=78 d=2.91428 t=127284
ruan jian bao 	軟件包	c=5 d=0.352983 t=127284
ruan ruan 	軟軟	c=0 d=3.96181e-21 t=127284
ruan yi feng 	軟一峯	c=2 d=0.111359 t=127284
rui 	瑞	c=2 d=0.67032 t=127284
rui ke 	瑞克	c=11 d=1.05003 t=127284
rui ke he 	瑞克和	c=2 d=0.399834 t=127284
rui ke he mo di 	瑞克和莫蒂	c=1 d=0.339596 t=127284
rui shi 	瑞士	c=1 d=0.113042 t=127284
rui zhi 	睿智	c=2 d=2.01965e-05 t=127284
run 	潤	c=4 d=0.524663 t=127284
run le 	潤了	c=1 d=5.41377e-17 t=127284
run se 	潤色	c=3 d=0.265503 t=127284
ruo 	弱	c=1 d=0.0176857 t=127284
ruo 	若	c=27 d=0.136327 t=127284
ruo gan 	若干	c=5 d=1.16505 t=127284
ruo gan ge 	若干個	c=4 d=0.818632 t=127284
sa 	仨	c=1 d=0.0156858 t=127284
sa huang 	撒謊	c=1 d=0.0548812 t=127284
sa huang gong neng 	撒謊功能	c=1 d=8.74162e-07 t=127284
sa huang na ge 	撒謊哪個	c=1 d=0.551563 t=127284
sa jiu feng 	撒酒瘋	c=0 d=2.16087e-07 t=127284
sai 	塞	c=4 d=0.244143 t=127284
sai dao 	賽道	c=1 d=5.89006e-09 t=127284
sai jin qu 	塞進去	c=1 d=2.41879e-09 t=127284
san 	三	c=22 d=0.930799 t=127284
san bai 	三百	c=0 d=5.22668e-16 t=127284
san bai hang 	三百行	c=1 d=5.25288e-15 t=127284
san bian 	三遍	c=1 d=7.97133e-10 t=127284
san bu 	三步	c=1 d=8.35981e-11 t=127284
san ci 	三次	c=3 d=0.522046 t=127284
san dian 	三點	c=2 d=4.87396e-16 t=127284
san duan 	三段	c=1 d=0.818731 t=127284
san duan lun fa 	三段論法	c=0 d=2.42456e-38 t=127284
san fang 	三方	c=2 d=1.47062e-08 t=127284
san fen zhi yi 	三分之一	c=1 d=7.75444e-09 t=127284
san ge 	三個	c=39 d=0.818731 t=127284
san hang 	三行	c=1 d=2.25603e-13 t=127284
san hu 	散戶	c=1 d=0.213312 t=127284
san mu 	三目	c=1 d=0.477114 t=127284
san nian 	三年	c=2 d=2.91637e-05 t=127284
san si 	三四	c=0 d=1.5359e-20 t=127284
san si ge 	三四個	c=2 d=0.104874 t=127284
san tian 	三天	c=5 d=8.9476e-05 t=127284
san wei 	三位	c=2 d=2.32358e-28 t=127284
san wu 	三五	c=1 d=0.744532 t=127284
san xiang 	三項	c=1 d=2.08868e-18 t=127284
san xiao 	三小	c=0 d=7.73969e-17 t=127284
san xiao dian 	三小點	c=1 d=7.77848e-16 t=127284
san xing 	三星	c=1 d=5.57296e-05 t=127284
san yao su 	三要素	c=1 d=1 t=124672
san yuan 	三元	c=1 d=0.00162053 t=127284
san zhong 	三種	c=4 d=0.00337959 t=127284
sang 	桑	c=1 d=3.7311e-20 t=127284
sao 	掃	c=5 d=2.0165e-16 t=127284
sao 	騷	c=2 d=1.38959e-10 t=127284
sao ce suo 	掃廁所	c=1 d=2.74551e-29 t=127284
sao dao 	掃到	c=2 d=4.26124e-16 t=127284
sao le 	掃了	c=1 d=3.90017e-12 t=127284
sao miao 	掃描	c=3 d=0.913959 t=127284
se 	色	c=9 d=0.0188734 t=127284
se cai 	色彩	c=2 d=7.19291e-07 t=127284
se cong di song 	色從遞送	c=1 d=4.6396e-25 t=127284
se diao 	色調	c=1 d=7.47094e-12 t=127284
se hui 	塞回	c=0 d=0.0467666 t=127284
se se 	瑟瑟	c=2 d=0.016502 t=127284
se se 	色色	c=9 d=6.28487e-05 t=127284
sha 	傻	c=2 d=0.031273 t=127284
sha 	啥	c=134 d=2.326 t=127284
sha 	殺	c=3 d=0.360595 t=127284
sha 	煞	c=1 d=3.79317e-67 t=127284
sha cha 	沙茶	c=1 d=0.479505 t=127284
sha dao 	殺到	c=1 d=0.366045 t=127284
sha de 	殺得	c=1 d=0.0629761 t=127284
sha dong 	啥懂	c=1 d=1.96163e-15 t=127284
sha dong xi 	啥東西	c=1 d=0.315058 t=127284
sha dou you 	啥都有	c=1 d=0.0235177 t=127284
sha la 	沙拉	c=5 d=0.99005 t=127284
sha le 	傻了	c=1 d=9.14242e-05 t=127284
sha le 	殺了	c=2 d=9.14242e-05 t=127284
sha le wo 	殺了我	c=1 d=1.10191e-24 t=127284
sha shi 	啥事	c=-1 d=0.755784 t=127284
sha shi 	啥是	c=1 d=0.814647 t=127284
sha shi hou 	啥時候	c=14 d=0.977274 t=127284
sha shou 	殺手	c=1 d=8.88582e-23 t=127284
sha si 	殺死	c=2 d=0.0212797 t=127284
sha wan yi 	啥玩意	c=2 d=0.0713613 t=127284
sha wo 	殺我	c=1 d=1 t=124469
sha xiang 	沙箱	c=1 d=0.044601 t=127284
sha yan 	傻眼	c=1 d=8.83248e-11 t=127284
sha yang 	啥樣	c=1 d=0.951229 t=127284
sha ye 	啥也	c=5 d=0.904837 t=127284
sha yi si 	啥意思	c=4 d=0.0228227 t=127284
shai xuan 	篩選	c=2 d=0.0489192 t=127284
shai xuan qi 	篩選器	c=2 d=0.491644 t=127284
shan 	刪	c=6 d=0.373439 t=127284
shan chang 	擅長	c=3 d=1.00051e-06 t=127284
shan cheng 	山城	c=1 d=1.57773e-41 t=127284
shan chu 	刪除	c=194 d=5.91119 t=127284
shan chu le 	刪除了	c=5 d=0.74004 t=127284
shan cun 	山村	c=1 d=7.81032e-64 t=127284
shan diao 	刪掉	c=1 d=5.24021e-16 t=127284
shan hao 	刪號	c=5 d=0.0203434 t=127284
shan ku 	刪庫	c=1 d=4.29996e-13 t=127284
shan le 	刪了	c=14 d=0.71177 t=127284
shan shuo 	閃爍	c=2 d=0.190139 t=127284
shan tui 	閃退	c=3 d=7.5996e-07 t=127284
shan xi 	山西	c=1 d=0.00249118 t=127284
shan xi 	陝西	c=1 d=0.70822 t=127284
shan yu 	善於	c=1 d=1.38187e-11 t=127284
shan zhai 	山寨	c=1 d=0.00158052 t=127284
shang 	上	c=278 d=2.80109 t=127284
shang 	商	c=5 d=0.0510474 t=127284
shang 	尚	c=1 d=6.11649e-41 t=127284
shang ban 	上班	c=0 d=0.00342181 t=127284
shang bang 	上榜	c=0 d=6.75769e-09 t=127284
shang bang le 	上榜了	c=1 d=6.79156e-08 t=127284
shang bian 	上邊	c=2 d=0.000313785 t=127284
shang biao 	上表	c=3 d=1.95227e-09 t=127284
shang biao 	商標	c=1 d=8.75651e-27 t=127284
shang ceng 	上層	c=2 d=0.00491728 t=127284
shang chua 	上欻	c=1 d=4.19166e-07 t=127284
shang chuan 	上傳	c=18 d=0.180572 t=127284
shang chuan 	商傳	c=-5 d=0.186374 t=127284
shang chuang 	上牀	c=1 d=3.66356e-11 t=127284
shang ci 	上次	c=3 d=2.52926e-05 t=127284
shang da xue 	上大學	c=1 d=6.62275e-06 t=127284
shang de 	上的	c=1 d=2.9835e-07 t=127284
shang dian 	上點	c=2 d=0.0322254 t=127284
shang dian 	商店	c=7 d=0.923116 t=127284
shang gang shang xian 	上綱上線	c=1 d=1.8287e-13 t=127284
shang ge yue 	上個月	c=1 d=0.103312 t=127284
shang gu 	上古	c=1 d=0.0298969 t=127284
shang guo 	上過	c=3 d=8.24874e-08 t=127284
shang hai 	上海	c=2 d=1.48131e-05 t=127284
shang hu 	商戶	c=54 d=0.58222 t=127284
shang jia 	商家	c=1 d=6.67204e-05 t=127284
shang jiu 	上就	c=1 d=7.49793e-25 t=127284
shang ke 	上課	c=4 d=0.957919 t=127284
shang lai 	上來	c=1 d=0.229925 t=127284
shang le 	上了	c=4 d=0.152735 t=127284
shang lian 	上臉	c=0 d=0.0246597 t=127284
shang mao 	商貿	c=1 d=0.715338 t=127284
shang mian 	上面	c=47 d=2.09112 t=127284
shang qu 	上去	c=2 d=0.000405658 t=127284
shang ren 	商人	c=2 d=0.00854999 t=127284
shang shang 	上上	c=1 d=0.12493 t=127284
shang sheng 	上升	c=2 d=0.66034 t=127284
shang shu 	上述	c=1 d=3.9015e-16 t=127284
shang tian 	上天	c=0 d=0.0843665 t=127284
shang tou 	上投	c=1 d=1 t=126097
shang wang 	上網	c=2 d=2.31275e-11 t=127284
shang wei 	上位	c=0 d=3.77578e-14 t=127284
shang wei ji 	上位機	c=1 d=3.7947e-13 t=127284
shang wu 	上午	c=2 d=0.000265207 t=127284
shang xia 	上下	c=3 d=5.58107e-08 t=127284
shang xia wen 	上下文	c=57 d=0.309479 t=127284
shang xian 	上線	c=5 d=0.00521049 t=127284
shang xian 	上限	c=11 d=0.00708951 t=127284
shang xue 	上學	c=1 d=3.89818e-06 t=127284
shang xue qi 	上學期	c=1 d=3.54551e-08 t=127284
shang ye hua 	商業化	c=2 d=0.00458484 t=127284
shang yi 	上移	c=1 d=1.01091e-10 t=127284
shang yi ci 	上一次	c=10 d=0.814647 t=127284
shang yi ge 	上一個	c=2 d=0.17552 t=127284
shang yi kuai 	上一塊	c=2 d=0.000947529 t=127284
shang yi ye 	上一頁	c=1 d=1.42347e-07 t=127284
shang yong 	商用	c=1 d=1.66614e-06 t=127284
shang you 	上游	c=20 d=0.00392908 t=127284
shang you de 	上游的	c=1 d=0.00108086 t=127284
shao 	少	c=20 d=1.05457 t=127284
shao bu liao 	少不了	c=1 d=0.0015648 t=127284
shao da 	稍大	c=0 d=0.000798652 t=127284
shao da yu 	稍大於	c=1 d=0.00802655 t=127284
shao deng 	稍等	c=2 d=8.03472e-06 t=127284
shao fu 	少婦	c=1 d=0.0555762 t=127284
shao hou 	稍後	c=1 d=0.995012 t=127284
shao jian 	少見	c=2 d=0.000350903 t=127284
shao le 	少了	c=2 d=1.12612e-15 t=127284
shao lu 	燒錄	c=3 d=0.0285814 t=127284
shao nv 	少女	c=1 d=1 t=124452
shao ping 	燒屏	c=1 d=3.35863e-18 t=127284
shao ping 	燒瓶	c=-1 d=0 t=127284
shao shuo 	少說	c=1 d=5.22935e-21 t=127284
shao wei 	稍微	c=7 d=0.00186406 t=127284
shao xie 	燒寫	c=4 d=2.00935 t=127284
shao yu 	少於	c=3 d=0.066205 t=127284
shao ze 	少則	c=1 d=0.10435 t=127284
shao zhuan 	少賺	c=1 d=0.000531398 t=127284
she 	蛇	c=0 d=0.00134335 t=127284
she bei 	設備	c=81 d=10.3821 t=127284
she bi 	涉筆	c=0 d=7.23142e-12 t=127284
she bi e 	涉筆額	c=6 d=0.744532 t=127284
she hui 	社會	c=3 d=0.0380983 t=127284
she hui zi 	社會子	c=1 d=0.382893 t=127284
she ji 	涉及	c=16 d=0.756094 t=127284
she ji 	設計	c=142 d=5.67843 t=127284
she ji ying yong 	設計應用	c=1 d=5.57562e-40 t=127284
she jiao 	社交	c=0 d=2.54938e-11 t=127284
she kong 	社恐	c=3 d=1.98204e-19 t=127284
she kong 	蛇空	c=-1 d=1.11856e-24 t=127284
she me 	什麼	c=0 d=2.43754e-42 t=127284
she me me 	什麼麼	c=1 d=2.44976e-41 t=127284
she qu 	社區	c=20 d=1.65854 t=127284
she ru 	攝入	c=5 d=2.48573 t=127284
she xiang tou 	攝像頭	c=32 d=0.00466378 t=127284
she you 	舍友	c=8 d=0.00362464 t=127284
she zhe 	躡着	c=1 d=3.81308e-11 t=127284
she zhi 	設置	c=282 d=2.53033 t=127284
she zhi de 	設置的	c=1 d=1.15663e-06 t=127284
she zhi le 	設置了	c=3 d=0.349938 t=127284
she zhi wei 	設置爲	c=1 d=0.0023344 t=127284
she zhi yong hu 	設置用戶	c=1 d=1.58537e-39 t=127284
shei 	誰	c=35 d=0.869784 t=127284
shei de 	誰的	c=3 d=9.19138e-09 t=127284
shei dou 	誰都	c=1 d=1.24371e-07 t=127284
shei lai 	誰來	c=1 d=0.00141589 t=127284
